Last Name,First Name,Title,Institution,Advisor 1,Advisor 2,Advisor 3,Advisor 4,Subject,SubjectReconciled,Year,Failed
Adams,Sarah,Hand to Hand: Uli Body and Wall Painting and Artistic Identity in Southeastern Nigeria,Yale,R. Thompson,,,,African Art (sub-Saharan),African,2002,No
Bonnell,Letty,"Elephants and Hunters, Diviners and Oracles: Yoruba Carving in Bone and Ivory",Maryland,E. Eyo,,,,African Art (sub-Saharan),African,2002,No
Doris,David,Vigilant Things: The Strange Fates of Ordinary Objects in Southwestern Nigeria,Yale,R. Thompson,,,,African Art (sub-Saharan),African,2002,No
Elleh,Nnamdi,"Architecture and Nationalism at Abuja, Nigeria: A Study of the Ideologies of ‘Federal Character,’ 1975–1991",Northwestern,D. Van Zanten,,,,African Art (sub-Saharan),African,2002,No
Klemm,Peri,"Shaping the Future, Wearing the Past: Dress and the Decorated Female Body among the Afran Qallo Oromo in Eastern Hararghe, Ethiopia",Emory,S. Kasfir,,,,African Art (sub-Saharan),African,2002,No
Miller,Kimberly Anne,"The Philani Printing Project: Women’s Art and Activism in Crossroads, South Africa",Wisconsin,H. Drewal,,,,African Art (sub-Saharan),African,2002,No
Berenfeld,Michelle,The Bishop's Palace at Aphrodisias: A Late Roman Townhouse in the Center of the City,IFA/NYU,C. Ratté,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Bubenzer,Brian,The Arthurian Architecture of H. H. Richardson,Wisconsin,N. Menocal,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Carso,Kerry,"Reading the Gothic: American Art and Architecture in the Age of Romantic Literature, 1800–1850",Boston,K. Morgan,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Chasin,Noah,"Ethics and Aesthetics: New Brutalism, Team 10, and Architectural Change in the 1950s",CUNY,R. Bletter,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Cowherd,Robert,"Cultural Construction of Jakarta: Design, Planning, and Development in Jabotabek, 1980–1997",MIT,S. Anderson,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
Elleh,Nnamdi,"Architecture and Nationalism at Abuja, Nigeria: A Study of the Ideologies of ‘Federal Character,’ 1975–1991",Northwestern,D. Van Zanten,,,,Architectural History/Historic Preservation,Architectural History/Historic Preservation,2002,No
